                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12576,                0.14606,               0.026017,               0.028732,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045948,               0.087859,               0.013906,              0.0097961,                    0.1,                      0,                      0
                      1,                0.12792,                0.15035,               0.026114,               0.035914,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045734,                0.08754,               0.013968,              0.0099121,                 0.0991,              9.967e-05,              9.967e-05
                      2,               0.078956,               0.089395,               0.026032,               0.014627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045331,               0.083595,               0.014024,              0.0098938,               0.098199,             0.00019868,             0.00019868
                      3,                0.13125,                0.16451,               0.026337,               0.030912,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045045,               0.079438,               0.014007,              0.0098877,               0.097297,             0.00029703,             0.00029703
                      4,                0.13027,                0.13768,               0.025236,               0.024382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.044274,               0.073131,               0.014093,              0.0097717,               0.096395,             0.00039472,             0.00039472
                      5,                0.13299,                0.12247,               0.023896,               0.031828,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042935,               0.063568,                0.01434,              0.0095032,               0.095492,             0.00049175,             0.00049175
                      6,                0.12126,               0.085367,               0.025113,               0.029454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041024,               0.054858,               0.014836,              0.0092102,               0.094588,             0.00058812,             0.00058812
                      7,                0.12675,                 0.1088,               0.023355,               0.035067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039678,               0.049316,               0.015168,              0.0089355,               0.093684,             0.00068383,             0.00068383
                      8,                0.13295,               0.088898,                 0.0234,               0.026688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039834,                0.04265,               0.014932,              0.0087097,               0.092779,             0.00077888,             0.00077888
                      9,                0.12451,               0.070098,               0.026578,               0.032656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039171,               0.038027,               0.014809,              0.0082642,               0.091873,             0.00087327,             0.00087327
                     10,                0.12205,                0.11336,               0.026786,               0.032198,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037503,               0.034749,               0.015656,              0.0080505,               0.090967,               0.000967,               0.000967
                     11,               0.082579,               0.060004,               0.024275,               0.012169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034788,               0.028268,                0.01694,              0.0080139,                0.09006,              0.0010601,              0.0010601
                     12,                0.12103,                0.10906,               0.024441,               0.032297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.031852,               0.026423,               0.018154,              0.0084778,               0.089152,              0.0011525,              0.0011525
                     13,                0.12169,               0.097952,               0.025347,               0.038594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.02814,               0.028163,               0.019001,              0.0087891,               0.088244,              0.0012442,              0.0012442
                     14,                0.11549,                 0.1031,               0.026933,               0.037279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028316,               0.029623,               0.018595,              0.0091125,               0.087335,              0.0013353,              0.0013353
                     15,                0.11601,               0.073969,               0.027548,               0.028158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026178,               0.027743,               0.019311,              0.0086426,               0.086426,              0.0014257,              0.0014257
                     16,                0.11581,               0.092357,               0.029173,               0.031484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027939,               0.028087,               0.018993,              0.0086121,               0.085516,              0.0015155,              0.0015155
                     17,                0.10562,               0.058585,               0.024458,               0.022075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027939,               0.028087,               0.018993,              0.0086121,               0.084605,              0.0016046,              0.0016046
                     18,                0.11491,                0.08097,               0.026007,               0.033679,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027978,                0.02677,               0.018952,              0.0084167,               0.083693,              0.0016931,              0.0016931
                     19,                 0.1148,               0.071404,               0.029125,               0.030873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027978,                0.02677,               0.018952,              0.0084167,               0.082781,              0.0017809,              0.0017809
