               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11904,            0.038873,                   0,                   0,                   0,                   0,                   0,            0.045336,            0.033348,                   0,                 0.1,                   0,                   0
                   1,             0.10157,            0.035626,                   0,                   0,                   0,                   0,                   0,            0.045529,            0.032864,                   0,              0.0991,          9.9505e-05,          9.9505e-05
                   2,              0.1228,            0.034815,                   0,                   0,                   0,                   0,                   0,            0.045878,            0.032086,                   0,            0.098198,          0.00019802,          0.00019802
                   3,             0.11215,             0.04017,                   0,                   0,                   0,                   0,                   0,            0.046196,            0.031433,                   0,            0.097296,          0.00029554,          0.00029554
                   4,             0.11546,            0.035969,                   0,                   0,                   0,                   0,                   0,            0.046253,            0.030658,                   0,            0.096392,          0.00039208,          0.00039208
                   5,             0.10887,            0.037533,                   0,                   0,                   0,                   0,                   0,            0.046453,            0.030144,                   0,            0.095488,          0.00048762,          0.00048762
                   6,             0.12135,             0.03682,                   0,                   0,                   0,                   0,                   0,            0.046017,            0.029752,                   0,            0.094582,          0.00058218,          0.00058218
                   7,             0.12531,            0.035384,                   0,                   0,                   0,                   0,                   0,            0.045148,            0.029351,                   0,            0.093676,          0.00067574,          0.00067574
                   8,             0.11789,             0.03449,                   0,                   0,                   0,                   0,                   0,            0.045148,            0.029351,                   0,            0.092768,          0.00076832,          0.00076832
                   9,            0.099716,            0.034459,                   0,                   0,                   0,                   0,                   0,             0.04455,            0.029027,                   0,             0.09186,          0.00085991,          0.00085991
                  10,            0.092767,            0.032357,                   0,                   0,                   0,                   0,                   0,             0.04455,            0.029027,                   0,            0.090951,           0.0009505,           0.0009505
                  11,            0.075015,            0.031525,                   0,                   0,                   0,                   0,                   0,             0.04418,             0.02824,                   0,             0.09004,           0.0010401,           0.0010401
                  12,            0.099302,            0.036176,                   0,                   0,                   0,                   0,                   0,             0.04418,             0.02824,                   0,            0.089129,           0.0011287,           0.0011287
                  13,             0.12003,            0.034436,                   0,                   0,                   0,                   0,                   0,            0.043779,            0.027141,                   0,            0.088216,           0.0012163,           0.0012163
                  14,             0.11082,            0.030515,                   0,                   0,                   0,                   0,                   0,            0.043779,            0.027141,                   0,            0.087303,            0.001303,            0.001303
                  15,             0.11061,            0.035956,                   0,                   0,                   0,                   0,                   0,            0.043614,            0.026337,                   0,            0.086389,           0.0013886,           0.0013886
                  16,             0.10778,            0.034596,                   0,                   0,                   0,                   0,                   0,            0.043614,            0.026337,                   0,            0.085473,           0.0014733,           0.0014733
                  17,            0.092692,            0.032985,                   0,                   0,                   0,                   0,                   0,            0.042746,            0.025507,                   0,            0.084557,           0.0015569,           0.0015569
                  18,             0.10936,            0.035687,                   0,                   0,                   0,                   0,                   0,            0.042746,            0.025507,                   0,             0.08364,           0.0016396,           0.0016396
                  19,             0.10377,             0.03099,                   0,                   0,                   0,                   0,                   0,            0.041902,            0.024791,                   0,            0.082721,           0.0017213,           0.0017213
                  20,             0.10888,            0.029681,                   0,                   0,                   0,                   0,                   0,            0.041902,            0.024791,                   0,            0.081802,            0.001802,            0.001802
                  21,             0.10245,              0.0301,                   0,                   0,                   0,                   0,                   0,            0.039581,            0.024077,                   0,            0.080882,           0.0018817,           0.0018817
                  22,            0.096543,            0.031611,                   0,                   0,                   0,                   0,                   0,            0.039581,            0.024077,                   0,             0.07996,           0.0019604,           0.0019604
                  23,            0.093466,            0.029938,                   0,                   0,                   0,                   0,                   0,            0.039581,            0.024077,                   0,            0.079038,           0.0020381,           0.0020381
                  24,             0.10789,            0.030952,                   0,                   0,                   0,                   0,                   0,             0.03816,            0.023438,                   0,            0.078115,           0.0021149,           0.0021149
                  25,             0.09071,            0.033792,                   0,                   0,                   0,                   0,                   0,             0.03816,            0.023438,                   0,            0.077191,           0.0021906,           0.0021906
